ticker,day,arima_mean,arima_lower,arima_upper,prophet_mean,prophet_lower,prophet_upper,ensemble_mean
RELIANCE.NS,1,1361.5034775009174,1327.5279927792587,1395.478962222576,1172.8067925939597,1017.7115380883722,1334.4353999140312,1350.6746678035415
RELIANCE.NS,2,1362.6519663876077,1314.581553375767,1410.7223793994483,1175.4284301804043,1017.3797314022471,1327.4184592401925,1351.9076968448903
RELIANCE.NS,3,1363.7626551566868,1304.3963831014428,1423.1289272119309,1200.1390763167476,1041.3734884211083,1361.794808812819,1354.3727255024646
RELIANCE.NS,4,1361.452984837954,1293.0914235987018,1429.8145460772064,1200.9494017215313,1045.040738903975,1358.1763456196204,1352.2421035860039
RELIANCE.NS,5,1362.9327959590626,1286.5206168700624,1439.3449750480627,1175.318757096772,1016.2827726647178,1338.53782183274,1352.1661164893221
HDFCBANK.NS,1,751.6529725331199,731.1174675556185,772.1884775106212,1068.0196441106064,980.7265143825589,1155.3070755363992,771.0229315755213
HDFCBANK.NS,2,752.8549252283977,723.4500146537374,782.2598358030581,1068.887368138917,977.3362146924952,1150.3561052806178,772.2044206879646
HDFCBANK.NS,3,751.9995311212139,716.1544308835566,787.8446313588711,1073.3038638604962,985.2246648183047,1163.0355055052778,771.6718048606482
HDFCBANK.NS,4,750.77486861789,709.7539700682635,791.7957671675165,1073.5776562601477,980.4397018135616,1163.238022548275,770.5388871986909
HDFCBANK.NS,5,751.3165481798334,705.5326024489578,797.1004939107089,1068.6249888154566,978.5283573248315,1150.9570392226851,770.7441682520538
TATASTEEL.NS,1,212.0,207.45187662838882,216.54812337161118,123.7816851473703,101.77545181065386,146.48904138726417,208.2372943542853
TATASTEEL.NS,2,212.0,205.56798224454457,218.43201775545543,123.87862975814146,102.15222201357653,147.20558408455526,208.24142925569302
TATASTEEL.NS,3,212.0,204.12241924131578,219.87758075868422,121.16356187265806,97.72480589613085,144.5253516613124,208.1256256237797
TATASTEEL.NS,4,212.0,202.90375325682675,221.09624674317325,121.24080973838335,98.5339217869179,143.69677193425335,208.1289204155808
TATASTEEL.NS,5,212.0,201.83008697108045,222.16991302891955,123.91094342715915,102.10661771856888,148.2634028413298,208.24280750492673
APOLLOHOSP.NS,1,8009.312976005777,7850.033281080884,8168.5926709306705,7539.552993688138,6910.889001630085,8143.84846001831,7928.525104965277
APOLLOHOSP.NS,2,7996.323761314805,7767.464055364083,8225.183467265526,7544.069942674603,6914.514050273944,8160.829597771953,7918.546546240801
APOLLOHOSP.NS,3,8005.161104445743,7720.075664093481,8290.246544798005,7451.916104127829,6838.637960790721,8011.074457959035,7910.015737829003
APOLLOHOSP.NS,4,8017.033024647325,7686.786740357236,8347.279308937414,7454.304248950157,6780.506161584146,8056.789910688507,7920.256667628769
APOLLOHOSP.NS,5,8011.574346464628,7643.903728734684,8379.244964194573,7546.361119878675,6852.774591759521,8153.857140849244,7931.568412433516
MARUTI.NS,1,13166.595260125283,12875.680836058771,13457.509684191795,12096.090367328916,10757.793895967572,13233.684381448742,13110.079973147636
MARUTI.NS,2,13182.199860504821,12760.972792152776,13603.426928856867,12089.797599174119,10824.599282421279,13278.132499603142,13124.528543251085
MARUTI.NS,3,13190.685839661352,12673.598594634768,13707.773084687935,12090.621230934148,10694.862822083911,13315.976690678091,13132.61000322704
MARUTI.NS,4,13184.5738173575,12591.543398382852,13777.604236332147,12084.232450317113,10760.356532204261,13249.457068121848,13126.483369989975
MARUTI.NS,5,13177.565791263338,12517.512021139963,13837.619561386713,12053.846719282672,10732.497807327774,13262.182877403013,13118.241162050901
